tsid,dataSetName,class,suggested_action,suggested_value,decision,sheet_value,csm_value,appended,flat_value,is_member,sheet_membership,csm_in_sheet_vocabulary
Ocean2kHR_103_iso2k,CO02KUBE,"sheet only, excluded timeseries",leave; timeseries is excluded from the compilation,,,DMT (1/14/19),,,DMT (1/14/19),FALSE,,FALSE
Ocean2kHR_175_iso2k,CO04KIVA,"sheet only, excluded timeseries",leave; timeseries is excluded from the compilation,,,DMT (1/14/19),,,DMT (1/14/19),FALSE,,FALSE
Ocean2kHR_176_iso2k,CO04KIVA,"sheet only, excluded timeseries",leave; timeseries is excluded from the compilation,,,DMT (1/14/19),,,DMT (1/14/19),FALSE,,FALSE
Ocean2kHR_158_iso2k,CO04LIFI,"sheet only, excluded timeseries",leave; timeseries is excluded from the compilation,,,DMT (1/14/19),,,DMT (1/14/19),FALSE,,FALSE
Ocean2kHR_106_iso2k,CO05KUBE,"sheet only, excluded timeseries",leave; timeseries is excluded from the compilation,,,DMT (1/14/19),,,DMT (1/14/19),FALSE,,FALSE
Ocean2kHR_109_iso2k,CO06MOTO,"sheet only, excluded timeseries",leave; timeseries is excluded from the compilation,,,DMT (1/14/19),,,DMT (1/14/19),FALSE,,FALSE
Ocean2kHR_111_iso2k,CO06MOTO,"sheet only, excluded timeseries",leave; timeseries is excluded from the compilation,,,DMT (1/14/19),,,DMT (1/14/19),FALSE,,FALSE
Ocean2kHR_145_iso2k,CO06QUNG,"sheet only, excluded timeseries",leave; timeseries is excluded from the compilation,,,DMT (1/14/19),,,DMT (1/14/19),FALSE,,FALSE
Ocean2kHR_146_iso2k,CO06QUNG,"sheet only, excluded timeseries",leave; timeseries is excluded from the compilation,,,DMT (1/14/19),,,DMT (1/14/19),FALSE,,FALSE
Ocean2kHR_194_iso2k,CO07CAFR,"sheet only, excluded timeseries",leave; timeseries is excluded from the compilation,,,DMT (1/14/19),,,DMT (1/14/19),FALSE,,FALSE
Ocean2kHR_095_iso2k,CO08GOBE,"sheet only, excluded timeseries",leave; timeseries is excluded from the compilation,,,DMT (1/14/19),,,DMT (1/14/19),FALSE,,FALSE
Ocean2kHR_164_iso2k,CO09FEOG,"sheet only, excluded timeseries",leave; timeseries is excluded from the compilation,,,DMT (1/14/19),,,DMT (1/14/19),FALSE,,FALSE
Ocean2kHR_165_iso2k,CO09FEOG,"sheet only, excluded timeseries",leave; timeseries is excluded from the compilation,,,DMT (1/14/19),,,DMT (1/14/19),FALSE,,FALSE
Ocean2kHR_098_iso2k,CO10HEIG,"sheet only, excluded timeseries",leave; timeseries is excluded from the compilation,,,DMT (1/14/19),,,DMT (1/14/19),FALSE,,FALSE
Ocean2kHR_161_iso2k,CO11NUPM,"sheet only, excluded timeseries",leave; timeseries is excluded from the compilation,,,DMT (1/14/19),,,DMT (1/14/19),FALSE,,FALSE
Ocean2kHR_155_iso2k,CO12GOVA,"sheet only, excluded timeseries",leave; timeseries is excluded from the compilation,,,DMT (1/14/19),,,DMT (1/14/19),FALSE,,FALSE
Ocean2kHR_182_iso2k,CO14OSPA,"sheet only, excluded timeseries",leave; timeseries is excluded from the compilation,,,DMT (1/14/19),,,DMT (1/14/19),FALSE,,FALSE
Ocean2kHR_184_iso2k,CO14OSPA,"sheet only, excluded timeseries",leave; timeseries is excluded from the compilation,,,DMT (1/14/19),,,DMT (1/14/19),FALSE,,FALSE
Ocean2kHR_027_iso2k,CO14ZIHO,"sheet only, excluded timeseries",leave; timeseries is excluded from the compilation,,,DMT (1/14/19),,,DMT (1/14/19),FALSE,,FALSE
WEB1b49cf10,CO17RAPA,"sheet only, excluded timeseries",leave; timeseries is excluded from the compilation,,,DMT (1/14/19),,,DMT (1/14/19),FALSE,,FALSE
WEB34c958f0,CO17RAPA,"sheet only, excluded timeseries",leave; timeseries is excluded from the compilation,,,DMT (1/14/19),,,DMT (1/14/19),FALSE,,FALSE
WEBbac6c4f7,CO17WUBO1A,"sheet only, excluded timeseries",leave; timeseries is excluded from the compilation,,,DMT (1/14/19),,,DMT (1/14/19),FALSE,,FALSE
WEBbac6c4f72,CO17WUBO1B,"sheet only, excluded timeseries",leave; timeseries is excluded from the compilation,,,DMT (1/14/19),,,DMT (1/14/19),FALSE,,FALSE
WEBbac6c4f722,CO17WUBO1C,"sheet only, excluded timeseries",leave; timeseries is excluded from the compilation,,,DMT (1/14/19),,,DMT (1/14/19),FALSE,,FALSE
WEBbac6c4f7222,CO17WUBO1D,"sheet only, excluded timeseries",leave; timeseries is excluded from the compilation,,,DMT (1/14/19),,,DMT (1/14/19),FALSE,,FALSE
WEBbac6c4f72222,CO17WUBO1E,"sheet only, excluded timeseries",leave; timeseries is excluded from the compilation,,,DMT (1/14/19),,,DMT (1/14/19),FALSE,,FALSE
WEBbac6c4f722222,CO17WUBO1F,"sheet only, excluded timeseries",leave; timeseries is excluded from the compilation,,,DMT (1/14/19),,,DMT (1/14/19),FALSE,,FALSE
WEBbac6c4f7222222,CO17WUBO1G,"sheet only, excluded timeseries",leave; timeseries is excluded from the compilation,,,DMT (1/14/19),,,DMT (1/14/19),FALSE,,FALSE
WEB6afe8aaf,CO18HECO01A,"sheet only, excluded timeseries",leave; timeseries is excluded from the compilation,,,DMT (1/14/19),,,DMT (1/14/19),FALSE,,FALSE
WEB8500c738,CO18HECO01A,"sheet only, excluded timeseries",leave; timeseries is excluded from the compilation,,,DMT (1/14/19),,,DMT (1/14/19),FALSE,,FALSE
WEB6afe8aaf2,CO18HECO01B,"sheet only, excluded timeseries",leave; timeseries is excluded from the compilation,,,DMT (1/14/19),,,DMT (1/14/19),FALSE,,FALSE
WEB8500c7382,CO18HECO01B,"sheet only, excluded timeseries",leave; timeseries is excluded from the compilation,,,DMT (1/14/19),,,DMT (1/14/19),FALSE,,FALSE
WEB1ae4dccd,CO18RELC01A,"sheet only, excluded timeseries",leave; timeseries is excluded from the compilation,,,DMT (1/14/19),,,DMT (1/14/19),FALSE,,FALSE
WEB3309bb9e,CO18RELC01A,"sheet only, excluded timeseries",leave; timeseries is excluded from the compilation,,,DMT (1/14/19),,,DMT (1/14/19),FALSE,,FALSE
Ocean2kHR_136_iso2k,CO98EVXM,"sheet only, excluded timeseries",leave; timeseries is excluded from the compilation,,,DMT (1/14/19),,,DMT (1/14/19),FALSE,,FALSE
WEB0c2a385a_iso2k,GI19POYU,"sheet only, excluded timeseries",leave; timeseries is excluded from the compilation,,,TP: Exclude from iso2k: Derived variable based on measured isotopes and assumptions of long-term changes in sea water,,,TP: Exclude from iso2k: Derived variable based on measured isotopes and assumptions of long-term changes in sea water,FALSE,,FALSE
WEB53aebb8d_iso2k,GI19POYU,"sheet only, excluded timeseries",leave; timeseries is excluded from the compilation,,,TP: Exclude from iso2k: D-excess is a derived variable.,,,TP: Exclude from iso2k: D-excess is a derived variable.,FALSE,,FALSE
WEB5fb47861_iso2k,GI19POYU,"sheet only, excluded timeseries",leave; timeseries is excluded from the compilation,,,TP: Exclude from iso2k: Derived variable based on measured isotopes and assumptions of long-term changes in sea water,,,TP: Exclude from iso2k: Derived variable based on measured isotopes and assumptions of long-term changes in sea water,FALSE,,FALSE
WEBa617473b_iso2k,GI19POYU,"sheet only, excluded timeseries",leave; timeseries is excluded from the compilation,,,TP: Exclude from iso2k: Derived variable based on measured isotopes and assumptions of long-term changes in sea water,,,TP: Exclude from iso2k: Derived variable based on measured isotopes and assumptions of long-term changes in sea water,FALSE,,FALSE
WEBfb6b61e3_iso2k,GI19POYU,"sheet only, excluded timeseries",leave; timeseries is excluded from the compilation,,,TP: Exclude from iso2k: Derived variable based on measured isotopes and assumptions of long-term changes in sea water,,,TP: Exclude from iso2k: Derived variable based on measured isotopes and assumptions of long-term changes in sea water,FALSE,,FALSE
WEB9bab95ac,SH18CASA,"sheet only, excluded timeseries",leave; timeseries is excluded from the compilation,,,DMT (1/14/19); KLD (12/31/19),,,DMT (1/14/19); KLD (12/31/19),FALSE,,FALSE
WEBf820da9c,SH18CASA,"sheet only, excluded timeseries",leave; timeseries is excluded from the compilation,,,DMT (1/14/19); KLD (12/31/19),,,DMT (1/14/19); KLD (12/31/19),FALSE,,FALSE
LPD7d948e2c_iso2k,SP13AYID,"sheet only, excluded timeseries",leave; timeseries is excluded from the compilation,,,LCB (29/03/2019): No isotopic analyses => shouldn't it be removed?,,,LCB (29/03/2019): No isotopic analyses => shouldn't it be removed?,FALSE,,FALSE
LPD7d948e2d,SP13AYID,"sheet only, excluded timeseries",leave; timeseries is excluded from the compilation,,,LCB (29/03/2019): No isotopic analyses => shouldn't it be removed?,,,LCB (29/03/2019): No isotopic analyses => shouldn't it be removed?,FALSE,,FALSE
